# a small number of samples are being processed and this list will be updated soon
CAMB-71A93,ERS4945947,EPI_ISL_439647
CAMB-71AA2,ERS4945972,EPI_ISL_439870
CAMB-71AC0,ERS4945959,EPI_ISL_439659
CAMB-71ADF,ERS4946009,EPI_ISL_439903
CAMB-71AEE,ERS4945877,EPI_ISL_439578
CAMB-71AFD,ERS4946036,EPI_ISL_439929
CAMB-71B09,ERS4946058,EPI_ISL_439950
CAMB-71B18,ERS4945919,EPI_ISL_439619
CAMB-71B27,ERS4945920,EPI_ISL_439620
CAMB-71B36,ERS4945860,EPI_ISL_439563
CAMB-71B45,ERS4945911,EPI_ISL_439611
CAMB-71B54,ERS4945964,EPI_ISL_439664
CAMB-71B63,ERS4945997,EPI_ISL_439892
CAMB-71B72,ERS4945912,EPI_ISL_439612
CAMB-71B81,ERS4945832,EPI_ISL_439536
CAMB-71BBE,ERS4945968,EPI_ISL_439866
CAMB-71BCD,ERS4946060,EPI_ISL_439952
CAMB-71BDC,ERS4945830,EPI_ISL_439534
CAMB-71BEB,ERS4945839,EPI_ISL_439543
CAMB-71BFA,ERS4945901,EPI_ISL_439601
CAMB-71C06,ERS4946054,EPI_ISL_439946
CAMB-71C15,ERS4946034,EPI_ISL_439927
CAMB-71C24,ERS4945855,NULL
CAMB-71C33,ERS4946006,EPI_ISL_439901
CAMB-71C42,ERS4945983,EPI_ISL_439880
CAMB-71C51,ERS4945917,EPI_ISL_439617
CAMB-71C60,ERS4945907,EPI_ISL_439607
CAMB-71C7F,ERS4945950,EPI_ISL_439650
CAMB-71C8E,ERS4945865,EPI_ISL_439567
CAMB-71C9D,ERS4945937,EPI_ISL_439637
CAMB-71CAC,ERS4945840,EPI_ISL_439544
CAMB-71CBB,ERS4946055,EPI_ISL_439947
CAMB-71CCA,ERS4945910,EPI_ISL_439610
CAMB-71CD9,ERS4945890,EPI_ISL_439590
CAMB-71CE8,ERS4946004,EPI_ISL_439899
CAMB-71CF7,ERS4945923,EPI_ISL_439623
CAMB-71D03,ERS4945828,EPI_ISL_439532
CAMB-71D12,ERS4945979,EPI_ISL_439876
CAMB-71D21,ERS4945946,EPI_ISL_439646
CAMB-71D30,ERS4945850,EPI_ISL_439554
CAMB-71D4F,ERS4946039,EPI_ISL_439932
CAMB-71D6D,ERS4945988,EPI_ISL_439885
CAMB-71D7C,ERS4945899,EPI_ISL_439599
CAMB-71D8B,ERS4945869,EPI_ISL_439571
CAMB-71D9A,ERS4946157,EPI_ISL_438300
